time,open,high,low,close,volume
1780710300,4330.7,4330.7,4321.5,4326.1,441.8207
1780711200,4326.2,4326.2,4325.2,4325.2,27.1118
1780712100,4325.2,4325.3,4324.8,4324.9,15.599
1780713000,4324.8,4324.8,4324.5,4324.6,33.8635
1780713900,4324.5,4326.2,4323.8,4326.2,52.32
1780714800,4326.3,4326.3,4325.9,4325.9,19.3798
1780715700,4326,4326,4323.2,4323.2,15.1437
1780716600,4323.2,4323.3,4320,4323.2,56.3403
1780717500,4323.1,4323.2,4322.4,4322.5,2.2877
1780718400,4322.5,4322.8,4317.8,4319,49.7319
1780719300,4318.9,4319,4316.6,4318.3,124.4123
1780720200,4318.3,4318.4,4313,4313,164.5728
1780721100,4313.1,4314.8,4312.5,4312.5,105.518
1780722000,4312.5,4312.6,4294.1,4301.1,520.5178
1780722900,4301.2,4310.1,4301.1,4310,115.7166
1780723800,4310.1,4313.1,4310,4313,21.16
1780724700,4313.1,4316,4313,4315.9,24.8003
